symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
axs,Axie Infinity,11.09,1140951184,47,3000052390,42003929.0,11.28,10.91,0.17,1.59,20007709.0,1.7849,102683813.36,270000000.0,270000000.0,164.9,-93.26,2021-11-06 19:29:29.482000 UTC,0.12,8881.15,2020-11-06 08:05:43.662000 UTC,2022-10-18 03:05:30.232000 UTC
aave,Aave,78.2,1105720609,48,1252255392,119532806.0,79.66,75.12,2.88,3.8175,42480641.0,3.9954,14127732.94,16000000.0,16000000.0,661.69,-88.17,2021-05-18 21:19:59.514000 UTC,26.02,200.76,2020-11-05 09:20:11.928000 UTC,2022-10-18 03:06:01.111000 UTC
eos,EOS,1.07,1081406418,49,,87850952.0,1.08,1.04,0.03,2.4607,27510093.0,2.6103,1012112751.02,,,22.71,-95.3,2018-04-29 07:50:33.540000 UTC,0.5,112.67,2017-10-23 00:00:00.000000 UTC,2022-10-18 03:04:23.928000 UTC
tkx,Tokenize Xchange,13.28,1063562824,50,1329520006,64971648.0,13.37,12.64,0.64,5.0537,52074425.0,5.1483,79996000.0,100000000.0,100000000.0,13.37,-0.58,2022-10-18 00:40:52.853000 UTC,0.11,11849.95,2019-04-28 00:00:00.000000 UTC,2022-10-18 03:05:50.764000 UTC
ldo,Lido DAO,1.51,1046053735,51,1509651376,41787677.0,1.55,1.37,0.14,10.2411,97175718.0,10.2411,692910794.88,1000000000.0,1000000000.0,7.3,-79.32,2021-08-20 08:35:20.158000 UTC,0.41,271.8,2022-06-18 20:55:12.035000 UTC,2022-10-18 03:04:42.746000 UTC
theta,Theta Network,1.02,1019139743,52,1019139743,15490412.0,1.03,1.0,0.02,1.91,21222775.0,2.1267,1000000000.0,1000000000.0,1000000000.0,15.72,-93.52,2021-04-16 13:15:11.190000 UTC,0.04,2422.64,2020-03-13 02:24:16.483000 UTC,2022-10-18 03:04:49.486000 UTC
ht,Huobi,7.6,1000639670,53,3819477255,90144051.0,8.04,6.67,0.92,13.7195,127804584.0,14.6425,130991704.25,500000000.0,500000000.0,39.66,-80.77,2021-05-12 14:42:21.586000 UTC,0.91,739.35,2019-01-30 00:00:00.000000 UTC,2022-10-18 03:05:44.249000 UTC
chz,Chiliz,0.19,993918003,54,1653203579,131802441.0,0.19,0.18,0.01,3.3926,33484968.0,3.4864,5344064580.0,8888888888.0,8888888888.0,0.88,-78.83,2021-03-13 08:04:21.200000 UTC,0.0,4426.43,2019-09-28 00:00:00.000000 UTC,2022-10-18 03:05:53.634000 UTC
mkr,Maker,1097.78,991223623,55,1105891014,87546780.0,1113.3,980.4,111.64,11.3204,101174648.0,11.3673,901310.95,977631.036950888,1005577.0,6292.31,-82.52,2021-05-03 21:54:29.333000 UTC,168.36,553.23,2020-03-16 20:52:36.527000 UTC,2022-10-18 03:06:05.185000 UTC
kcs,KuCoin,9.9,967976737,56,,998901.0,9.94,9.74,0.14,1.4489,13996110.0,1.4671,97724482.63,145224482.632494,,28.83,-65.65,2021-12-01 15:09:35.541000 UTC,0.34,2788.1,2019-02-07 00:00:00.000000 UTC,2022-10-18 03:04:17.069000 UTC
cusdc,cUSDC,0.02,956316619,57,,14.7,0.02,0.02,0.0,0.125,8444576.0,0.8909,42183479103.98,42183479103.9841,,0.06,-61.47,2020-10-21 11:24:27.820000 UTC,0.01,265.24,2021-03-04 08:11:37.438000 UTC,2022-10-18 03:05:57.812000 UTC
bsv,Bitcoin SV,48.64,933613691,58,,15187213.0,49.09,48.33,0.21,0.4428,3976577.0,0.4278,19198945.39,21000000.0,,489.75,-90.07,2021-04-16 17:09:04.630000 UTC,42.02,15.73,2018-11-23 00:00:00.000000 UTC,2022-10-18 03:04:55.736000 UTC
usdp,Pax Dollar,1.0,896942857,59,,57858676.0,1.0,0.99,-0.0,-0.019,1131068.0,0.1263,898350641.78,898350641.78,,1.13,-11.53,2018-10-15 07:09:12.459000 UTC,0.86,15.53,2021-05-19 13:14:42.046000 UTC,2022-10-18 03:05:44.579000 UTC
tusd,TrueUSD,1.0,880111095,60,,30829328.0,1.0,1.0,0.0,0.0546,4851481.0,0.5543,879771120.3,879771120.29547,,1.62,-38.23,2018-08-26 20:41:09.375000 UTC,0.88,13.16,2020-03-12 10:47:51.380000 UTC,2022-10-18 03:05:19.910000 UTC
usdd,USDD,1.0,775829940,61,,49788193.0,1.0,1.0,0.0,0.1404,10200106.0,1.3322,775601816.28,,,1.03,-2.84,2022-05-12 07:24:01.007000 UTC,0.93,7.78,2022-06-19 16:15:11.558000 UTC,2022-10-18 03:04:38.336000 UTC
ethw,EthereumPoW,7.11,758147055,62,,29170706.0,7.34,7.1,-0.07,-0.9204,-7666356.61,-1.0011,106808329.05,106808193.04993,,58.54,-87.86,2022-09-03 00:10:33.722000 UTC,4.17,70.59,2022-09-19 02:51:46.433000 UTC,2022-10-18 03:05:54.148000 UTC
btt,BitTorrent,0.0,735122615,63,772015399,15564635.0,0.0,0.0,0.0,1.3245,9909097.0,1.3664,942690250000000.0,990000000000000.0,990000000000000.0,0.0,-77.27,2022-01-21 04:00:31.909000 UTC,0.0,11.16,2022-06-18 21:29:51.935000 UTC,2022-10-18 03:04:47.986000 UTC
xec,eCash,0.0,726549180,64,794632967,5961604.0,0.0,0.0,0.0,1.6728,13530656.0,1.8977,19200729673303.0,21000000000000.0,21000000000000.0,0.0,-90.04,2021-09-04 17:09:31.137000 UTC,0.0,104.87,2021-07-20 20:49:46.212000 UTC,2022-10-18 03:05:53.888000 UTC
miota,IOTA,0.25,709243047,65,,9796971.0,0.26,0.25,0.01,2.0743,14743576.0,2.1229,2779530283.28,2779530283.0,,5.25,-95.14,2017-12-19 00:00:00.000000 UTC,0.08,212.57,2020-03-13 02:22:41.168000 UTC,2022-10-18 03:05:53.983000 UTC
zec,Zcash,52.61,679959282,66,1104780298,61175447.0,53.31,51.4,0.98,1.8946,13074560.0,1.9605,12924872.89,21000000.0,21000000.0,3191.93,-98.35,2016-10-29 00:00:00.000000 UTC,19.75,166.35,2020-03-13 02:20:55.002000 UTC,2022-10-18 03:04:57.387000 UTC
