symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
ar,Arweave,10.11,507343708,79,668243579,12762821.0,10.25,9.81,0.2,1.9697,9424560.0,1.8928,50108502.0,64598643.0,66000000.0,89.24,-88.62,2021-11-05 04:14:42.689000 UTC,0.3,3299.59,2020-01-31 06:47:36.543000 UTC,2022-10-18 03:17:58.241000 UTC
paxg,PAX Gold,1644.42,499253160,80,,6267163.0,1660.21,1640.56,1.17,0.0711,397293.0,0.0796,303808.21,303808.208,,2241.37,-26.61,2021-05-17 19:02:29.657000 UTC,1399.64,17.53,2019-11-18 03:09:35.959000 UTC,2022-10-18 03:18:34.517000 UTC
nexo,NEXO,0.88,493517416,81,881281085,3222014.0,0.88,0.87,0.01,1.3885,7631927.0,1.5707,560000010.01,1000000000.0,1000000000.0,4.07,-78.32,2021-05-12 14:37:47.535000 UTC,0.05,1853.04,2018-09-13 00:00:00.000000 UTC,2022-10-18 03:17:28.813000 UTC
crv,Curve DAO,0.89,485419277,82,2937575779,74046838.0,0.9,0.81,0.08,9.3583,166310698.0,52.1173,545808755.58,1837955208.95409,3303030299.0,15.37,-94.25,2020-08-14 00:00:00.000000 UTC,0.33,166.65,2020-11-05 13:09:50.181000 UTC,2022-10-18 03:17:34.212000 UTC
ens,Ethereum Name Service,18.74,482745488,83,1872323311,82123193.0,19.9,18.66,-0.85,-4.3359,-22058787.85,-4.3698,25783233.34,100000000.0,100000000.0,83.4,-77.61,2021-11-11 02:20:01.099000 UTC,7.45,150.53,2022-06-14 02:00:36.378000 UTC,2022-10-18 03:18:29.425000 UTC
cspr,Casper Network,0.05,481345380,84,,62624723.0,0.05,0.05,-0.0,-4.1803,-18070944.08,-3.6184,10430635438.0,11223229847.0,,1.33,-96.55,2021-05-12 00:00:00.000000 UTC,0.02,103.99,2022-06-18 20:14:44.694000 UTC,2022-10-18 03:17:32.024000 UTC
bit,BitDAO,0.44,475903743,85,4425337021,7993660.0,0.44,0.44,0.0,0.5309,2670026.0,0.5642,1075406778.14,10000000000.0,10000000000.0,3.1,-85.72,2021-11-12 04:54:56.433000 UTC,0.4,10.17,2022-06-18 20:44:32.363000 UTC,2022-10-18 03:18:35.016000 UTC
zil,Zilliqa,0.03,470826969,86,660746100,27787197.0,0.03,0.03,0.0,3.56,15881041.0,3.4907,14963942050.8,21000000000.0,21000000000.0,0.26,-87.66,2021-05-06 17:33:45.940000 UTC,0.0,1214.9,2020-03-13 02:22:55.161000 UTC,2022-10-18 03:17:52.481000 UTC
rune,THORChain,1.54,462216064,87,768565350,40009440.0,1.56,1.47,0.06,4.1373,20111354.0,4.549,300700561.0,500000000.0,500000000.0,20.87,-92.64,2021-05-19 00:30:09.436000 UTC,0.01,17944.13,2019-09-28 00:00:00.000000 UTC,2022-10-18 03:18:24.777000 UTC
twt,Trust Wallet,1.1,459017263,88,,12436816.0,1.11,1.03,0.06,6.054,25280681.0,5.8286,416649900.0,1000000000.0,,1.64,-32.73,2021-09-05 04:29:59.672000 UTC,0.0,39625.46,2020-06-09 09:15:06.983000 UTC,2022-10-18 03:18:29.927000 UTC
dash,Dash,41.02,449764742,89,,29016394.0,41.75,41.02,-0.56,-1.3353,-6006766.97,-1.3179,10961304.85,18920000.0,,1493.59,-97.25,2017-12-20 00:00:00.000000 UTC,0.21,19114.03,2014-02-14 00:00:00.000000 UTC,2022-10-18 03:18:13.969000 UTC
fxs,Frax Share,6.65,447321773,90,661760297,10201679.0,6.71,5.9,0.69,11.5676,44691964.0,11.1,67476085.2,99822984.1145714,99822984.1145714,42.8,-84.44,2022-01-12 15:22:27.465000 UTC,1.5,343.18,2021-06-25 16:50:51.447000 UTC,2022-10-18 03:18:37.186000 UTC
klay,Klaytn,0.14,443527619,91,,18736967.0,0.15,0.14,0.0,0.8343,3973743.0,0.904,3082070094.03,,,4.34,-96.68,2021-03-30 03:44:28.828000 UTC,0.06,138.67,2020-04-29 08:19:34.574000 UTC,2022-10-18 03:18:23.909000 UTC
enj,Enjin Coin,0.43,434388946,92,434388946,15784230.0,0.44,0.43,0.01,1.8003,6762583.0,1.5814,1000000000.0,1000000000.0,1000000000.0,4.82,-90.97,2021-11-25 09:53:41.955000 UTC,0.02,2231.25,2017-11-12 00:00:00.000000 UTC,2022-10-18 03:18:52.032000 UTC
rpl,Rocket Pool,22.99,433911438,93,433911438,1533178.0,23.24,22.35,0.59,2.6237,10711495.0,2.5311,18859620.88,18859620.8789177,18859620.8789177,59.46,-61.22,2021-11-09 04:03:31.003000 UTC,0.01,260493.14,2018-08-28 00:00:00.000000 UTC,2022-10-18 03:18:55.122000 UTC
xdc,XDC Network,0.03,432308539,94,,4383190.0,0.03,0.03,-0.0,-0.5802,-2056411.91,-0.4734,13787305562.4,37787301349.95,,0.19,-83.75,2021-08-21 04:39:48.324000 UTC,0.0,7824.06,2019-07-22 00:00:00.000000 UTC,2022-10-18 03:18:14.976000 UTC
bat,Basic Attention,0.29,431905279,95,432694145,37155423.0,0.29,0.28,0.0,1.3162,4819407.0,1.1284,1497265277.42,1500000000.0,1500000000.0,1.9,-84.83,2021-11-28 00:23:51.354000 UTC,0.07,298.37,2017-07-16 00:00:00.000000 UTC,2022-10-18 03:18:16.191000 UTC
kava,Kava,1.41,417869152,96,,7603682.0,1.43,1.4,0.01,0.7393,3368680.0,0.8127,297041180.0,299511406.0,,9.12,-84.57,2021-08-30 11:10:02.948000 UTC,0.29,390.02,2020-03-13 02:24:16.835000 UTC,2022-10-18 03:18:44.485000 UTC
xaut,Tether Gold,1685.55,415293619,97,,637775.0,1687.4,1671.45,11.43,0.6829,2463907.0,0.5968,246524.33,246524.33,,2096.29,-19.51,2021-05-19 12:57:30.922000 UTC,1447.84,16.54,2020-03-19 13:45:41.821000 UTC,2022-10-18 03:18:19.874000 UTC
stx,Stacks,0.31,412080609,98,559435166,12467265.0,0.31,0.3,0.0,1.5254,6864959.0,1.6942,1339140961.43,1352464600.0,1818000000.0,3.39,-90.92,2021-12-01 01:32:34.725000 UTC,0.05,575.08,2020-03-13 02:29:26.415000 UTC,2022-10-18 03:18:19.062000 UTC
cel,Celsius Network,0.97,409253872,99,,12328824.0,1.03,0.95,-0.03,-3.429,-18784777.14,-4.3886,423415980.35,692753441.4971,,8.05,-88.01,2021-06-04 00:04:12.584000 UTC,0.03,3583.62,2018-12-07 00:00:00.000000 UTC,2022-10-18 03:17:34.795000 UTC
luna,Terra,2.62,403878521,100,,104617457.0,2.66,2.59,-0.01,-0.2165,-1556684.15,-0.384,154289403.2,1033418543.84896,,18.87,-86.12,2022-05-28 09:18:14.847000 UTC,1.53,70.89,2022-08-29 00:11:56.615000 UTC,2022-10-18 03:18:49.367000 UTC
